Date,Temp,EC,Turbidity
2055-03-23 00:03,85.00,0.00,1785.25
2055-03-23 00:24,85.00,0.00,1786.00
2055-03-23 00:45,85.00,0.00,1791.00
2055-03-23 01:05,85.00,0.00,1792.75
2055-03-23 01:26,85.00,0.00,1796.75
2055-03-23 01:46,85.00,0.00,1796.75
2055-03-23 02:07,85.00,0.00,1787.75
2055-03-23 02:28,85.00,0.00,1789.50
2055-03-23 02:48,85.00,0.00,1791.50
2055-03-23 03:09,85.00,0.00,1794.00
2055-03-23 03:29,85.00,0.00,1796.25
2055-03-23 03:50,85.00,0.00,1796.75
2055-03-23 04:10,85.00,0.00,1795.75
2055-03-23 04:31,85.00,0.00,1796.75
2055-03-23 04:52,85.00,0.00,1797.25
2055-03-23 05:12,85.00,0.00,1796.50
2055-03-23 05:33,85.00,0.00,1795.00
2055-03-23 05:53,85.00,0.00,1794.75
2055-03-23 06:14,85.00,0.00,1794.50
2055-03-23 06:34,85.00,0.00,1795.00
2055-03-23 06:55,85.00,0.00,1792.75
2055-03-23 07:16,85.00,0.00,1791.50
2055-03-23 07:36,85.00,0.00,1791.25
2055-03-23 07:57,85.00,0.00,1790.50
2055-03-23 08:17,85.00,0.00,1790.00
2055-03-23 08:38,85.00,0.00,1788.00
2055-03-23 08:58,85.00,0.00,1787.00
2055-03-23 09:19,85.00,0.00,1787.25
2055-03-23 09:39,85.00,0.00,1784.25
2055-03-23 10:00,85.00,0.00,1783.00
2055-03-23 10:20,85.00,0.00,1781.00
2055-03-23 10:41,85.00,0.00,1774.25
2055-03-23 11:01,85.00,0.00,1772.50
2055-03-23 11:22,85.00,0.00,1771.25
2055-03-23 11:43,85.00,0.00,1769.00
2055-03-23 12:03,-1000.00,0.00,1767.50
2055-03-23 12:24,85.00,0.00,1767.50
2055-03-23 12:44,-1000.00,0.00,1767.50
2055-03-23 13:05,85.00,0.00,1765.50
2055-03-23 13:25,85.00,0.00,1765.00
2055-03-23 13:46,85.00,0.00,1764.00
2055-03-23 14:06,85.00,0.00,1763.50
2055-03-23 14:27,85.00,0.00,1761.25
2055-03-23 14:47,85.00,0.00,1760.75
2055-03-23 15:08,85.00,0.00,1761.00
2055-03-23 15:28,85.00,0.00,1762.50
2055-03-23 15:49,85.00,0.00,1761.75
2055-03-23 16:09,85.00,0.00,1761.50
2055-03-23 16:30,85.00,0.00,1761.75
2055-03-23 16:50,85.00,0.00,1759.50
2055-03-23 17:11,85.00,0.00,1758.75
2055-03-23 17:31,85.00,0.00,1758.00
2055-03-23 17:52,-1000.00,0.00,1756.25
2055-03-23 18:12,85.00,0.00,1755.25
2055-03-23 18:33,85.00,0.00,1752.75
2055-03-23 18:53,85.00,0.00,1752.50
2055-03-23 19:14,85.00,0.00,1750.75
2055-03-23 19:34,85.00,0.00,1750.75
2055-03-23 19:55,85.00,0.00,1749.75
2055-03-23 20:15,85.00,0.00,1750.50
2055-03-23 20:36,85.00,0.00,1751.00
2055-03-23 20:57,85.00,0.00,1750.75
2055-03-23 21:17,85.00,0.00,1753.00
2055-03-23 21:38,85.00,0.00,1753.75
2055-03-23 21:58,85.00,0.00,1752.00
2055-03-23 22:19,85.00,0.00,1754.75
2055-03-23 22:39,85.00,0.00,1755.25
2055-03-23 23:00,85.00,0.00,1757.00
2055-03-23 23:20,85.00,0.00,1756.00
2055-03-23 23:41,85.00,0.00,1759.25
