Date,Temp,EC,Turbidity
2055-02-16 01:03,25.00,0.00,2161.75
2055-02-16 01:04,18.50,0.00,2050.00
2055-02-16 01:25,18.44,0.00,2120.00
2055-02-16 01:46,18.75,0.00,2147.25
2055-02-16 02:06,19.00,0.00,2097.75
2055-02-16 02:27,19.25,0.00,2073.50
2055-02-16 02:47,19.56,0.00,2062.50
2055-02-16 03:08,19.94,0.00,2053.25
2055-02-16 03:29,19.94,0.00,2115.50
2055-02-16 03:49,20.00,0.00,2284.00
2055-02-16 04:10,20.44,0.00,2279.25
2055-02-16 04:30,20.44,0.00,2229.25
2055-02-16 04:51,20.56,0.00,2325.75
2055-02-16 05:12,20.38,0.00,2304.50
2055-02-16 05:32,20.25,0.00,2302.75
2055-02-16 05:53,28.38,0.00,2256.50
2055-02-16 06:13,20.31,0.00,2215.50
2055-02-16 06:34,20.25,0.00,2269.00
2055-02-16 06:54,20.25,0.00,2250.00
2055-02-16 07:15,20.12,0.00,2257.50
2055-02-16 07:35,79.12,0.00,2228.75
2055-02-16 07:56,20.25,0.00,2287.75
2055-02-16 08:16,20.12,0.00,2258.75
2055-02-16 08:37,20.12,0.00,2227.00
2055-02-16 08:57,19.88,0.00,2222.75
2055-02-16 09:18,19.88,0.00,2246.00
2055-02-16 09:38,19.81,0.00,2251.00
2055-02-16 09:59,19.69,0.00,2278.00
2055-02-16 10:19,19.44,0.00,2277.75
2055-02-16 10:40,95.12,0.00,2294.25
2055-02-16 11:00,11.25,0.00,2346.50
2055-02-16 11:21,19.00,0.00,2342.00
2055-02-16 11:41,19.00,0.00,2350.75
2055-02-16 12:02,18.94,0.00,2375.00
2055-02-16 12:22,18.75,0.00,2359.50
2055-02-16 12:43,18.69,0.00,2417.75
2055-02-16 13:03,18.62,0.00,2417.25
2055-02-16 13:24,18.44,0.00,2466.75
2055-02-16 13:44,18.31,0.00,2505.50
2055-02-16 14:05,18.38,0.00,2488.25
2055-02-16 14:25,18.19,0.00,2519.50
2055-02-16 14:46,18.25,0.00,2510.25
2055-02-16 15:06,17.94,0.00,2517.50
2055-02-16 15:27,18.00,0.00,2533.00
2055-02-16 15:47,18.12,0.00,2619.25
2055-02-16 16:08,18.00,0.00,2614.00
2055-02-16 16:28,17.75,0.00,2580.00
2055-02-16 16:49,17.94,0.00,2591.25
2055-02-16 17:09,17.75,0.00,2668.00
2055-02-16 17:30,17.75,0.00,2670.00
2055-02-16 17:50,25.12,0.00,2655.00
2055-02-16 18:11,17.56,0.00,2645.25
2055-02-16 18:31,17.56,0.00,2663.75
2055-02-16 18:52,17.31,0.00,2650.25
2055-02-16 19:12,17.44,0.00,2647.75
2055-02-16 19:32,79.12,0.00,2628.00
2055-02-16 19:53,17.12,0.00,2643.75
2055-02-16 20:13,17.12,0.00,2624.50
2055-02-16 20:34,17.00,0.00,2594.25
2055-02-16 20:54,17.00,0.00,2660.00
2055-02-16 21:15,16.88,0.00,2655.00
2055-02-16 21:35,2143.12,0.00,2662.25
2055-02-16 21:56,16.81,0.00,2701.25
2055-02-16 22:16,16.69,0.00,2694.00
2055-02-16 22:37,16.69,0.00,2677.25
2055-02-16 22:57,16.50,0.00,2678.50
2055-02-16 23:18,16.56,0.00,2694.75
2055-02-16 23:38,16.38,0.00,2754.50
2055-02-16 23:59,16.50,0.00,2739.50
