Date,Temp,EC,Turbidity
2055-03-18 00:14,-1000.00,0.00,2158.50
2055-03-18 00:35,-1000.00,0.00,2159.25
2055-03-18 00:55,-1000.00,0.00,2133.00
2055-03-18 01:16,-1000.00,0.00,2124.50
2055-03-18 01:37,-1000.00,0.00,2127.25
2055-03-18 01:57,-1000.00,0.00,2123.50
2055-03-18 02:18,-1000.00,0.00,2122.25
2055-03-18 02:38,-1000.00,0.00,2118.25
2055-03-18 02:59,-1000.00,0.00,2113.50
2055-03-18 03:19,-1000.00,0.00,2078.25
2055-03-18 03:40,-1000.00,0.00,2051.00
2055-03-18 04:01,-1000.00,0.00,2046.00
2055-03-18 04:21,-1000.00,0.00,1786.25
2055-03-18 04:42,-1000.00,0.00,1866.50
