Date,Temp,EC,Turbidity
2055-03-12 00:00,-1000.00,0.00,2110.25
2055-03-12 00:20,-1000.00,0.00,2133.50
2055-03-12 00:41,-1000.00,0.00,2168.75
2055-03-12 01:01,-1000.00,0.00,2149.50
2055-03-12 01:22,-1000.00,0.00,2143.75
2055-03-12 01:42,-1000.00,0.00,2145.75
2055-03-12 02:03,-1000.00,0.00,2146.25
2055-03-12 02:24,-1000.00,0.00,2151.50
2055-03-12 02:44,-1000.00,0.00,2150.00
2055-03-12 03:05,-1000.00,0.00,2157.00
2055-03-12 03:25,-1000.00,0.00,2161.50
2055-03-12 03:46,-1000.00,0.00,2164.50
2055-03-12 04:06,-1000.00,0.00,2157.50
2055-03-12 04:27,-1000.00,0.00,2154.25
2055-03-12 04:47,-1000.00,0.00,2148.75
2055-03-12 05:08,-1000.00,0.00,2143.75
2055-03-12 05:29,-1000.00,0.00,2142.25
2055-03-12 05:49,-1000.00,0.00,2137.50
2055-03-12 06:10,-1000.00,0.00,2127.50
2055-03-12 06:30,-1000.00,0.00,2118.25
2055-03-12 06:51,-1000.00,0.00,2108.75
2055-03-12 07:11,-1000.00,0.00,2097.75
2055-03-12 07:32,-1000.00,0.00,2086.50
2055-03-12 07:52,-1000.00,0.00,2075.75
2055-03-12 08:13,-1000.00,0.00,2067.25
2055-03-12 08:33,-1000.00,0.00,2061.50
2055-03-12 08:54,-1000.00,0.00,2053.75
2055-03-12 09:14,-1000.00,0.00,2048.75
2055-03-12 09:35,22.88,0.00,2045.50
2055-03-12 09:55,17.81,0.00,2040.25
2055-03-12 10:16,17.75,0.00,2035.00
2055-03-12 10:36,17.62,0.00,2031.50
2055-03-12 10:57,17.62,0.00,2027.00
2055-03-12 11:17,17.56,0.00,2022.25
2055-03-12 11:38,17.38,0.00,2016.75
2055-03-12 11:58,14.38,0.00,2019.00
2055-03-12 12:19,14.25,0.00,2018.00
2055-03-12 12:39,14.12,0.00,2010.00
2055-03-12 12:59,14.00,0.00,2009.00
2055-03-12 13:20,14.00,0.00,2006.25
2055-03-12 13:40,13.88,0.00,2002.75
2055-03-12 14:01,13.88,0.00,2002.50
2055-03-12 14:21,16.62,0.00,2000.00
2055-03-12 14:42,16.56,0.00,2000.50
2055-03-12 15:02,16.44,0.00,1995.00
2055-03-12 15:23,16.31,0.00,1991.50
2055-03-12 15:43,16.19,0.00,1992.00
2055-03-12 16:04,16.25,0.00,1992.00
2055-03-12 16:24,16.12,0.00,1980.25
2055-03-12 16:45,16.00,0.00,1985.00
2055-03-12 17:05,15.81,0.00,1977.25
2055-03-12 17:25,15.81,0.00,1983.75
2055-03-12 17:46,15.62,0.00,1980.00
2055-03-12 18:06,15.56,0.00,1975.00
2055-03-12 18:27,15.50,0.00,1975.25
2055-03-12 18:47,15.38,0.00,1971.75
2055-03-12 19:08,15.31,0.00,1970.75
2055-03-12 19:28,15.25,0.00,1970.50
2055-03-12 19:49,15.19,0.00,1966.25
2055-03-12 20:09,15.06,0.00,1971.00
2055-03-12 20:29,14.94,0.00,1975.75
2055-03-12 20:50,15.00,0.00,1974.75
2055-03-12 21:10,14.88,0.00,1982.75
2055-03-12 21:31,14.81,0.00,2005.00
2055-03-12 21:51,14.88,0.00,2016.25
2055-03-12 22:12,14.88,0.00,2064.75
2055-03-12 22:32,15.00,0.00,2174.50
2055-03-12 22:53,15.12,0.00,2191.75
2055-03-12 23:13,15.44,0.00,2199.00
2055-03-12 23:34,15.62,0.00,2217.25
2055-03-12 23:54,15.81,0.00,2175.75
