Date,Temp,EC,Turbidity
2055-02-18 00:11,13.62,0.00,2419.25
2055-02-18 00:32,95.12,0.00,2414.75
2055-02-18 00:52,13.69,0.00,2414.25
2055-02-18 01:13,13.50,0.00,2364.50
2055-02-18 01:33,79.12,0.00,2205.75
2055-02-18 01:54,13.75,0.00,2239.50
2055-02-18 02:14,13.69,0.00,1539.25
2055-02-18 02:34,13.81,0.00,1691.25
2055-02-18 02:55,13.88,0.00,1992.00
2055-02-18 03:15,14.00,0.00,1602.00
2055-02-18 03:36,14.06,0.00,1929.75
2055-02-18 03:56,13.94,0.00,2255.75
2055-02-18 04:17,14.12,0.00,1763.25
2055-02-18 04:37,77.12,0.00,1614.00
2055-02-18 04:58,77.12,0.00,2140.50
2055-02-18 05:18,14.19,0.00,1539.00
2055-02-18 05:39,14.19,0.00,1489.25
2055-02-18 05:59,77.12,0.00,1506.25
2055-02-18 06:20,14.31,0.00,1973.25
2055-02-18 06:40,77.12,0.00,1906.50
2055-02-18 07:01,14.12,0.00,1897.75
2055-02-18 07:21,14.06,0.00,1902.75
2055-02-18 07:42,14.12,0.00,1906.00
2055-02-18 08:02,13.94,0.00,1912.25
2055-02-18 08:22,77.12,0.00,1914.00
2055-02-18 08:43,13.62,0.00,1943.25
2055-02-18 09:03,13.75,0.00,1922.50
2055-02-18 09:24,13.75,0.00,1922.00
2055-02-18 09:44,13.75,0.00,1923.50
2055-02-18 10:05,13.69,0.00,1920.25
2055-02-18 10:25,13.69,0.00,1918.75
2055-02-18 10:46,13.44,0.00,1928.00
2055-02-18 11:06,95.12,0.00,1916.75
2055-02-18 11:26,13.38,0.00,1923.50
2055-02-18 11:47,13.50,0.00,1922.00
2055-02-18 12:07,13.44,0.00,1507.75
2055-02-18 12:28,13.44,0.00,1865.50
2055-02-18 12:48,13.44,0.00,1522.00
2055-02-18 13:09,77.12,0.00,1530.75
2055-02-18 13:29,77.12,0.00,1561.00
2055-02-18 13:50,13.31,0.00,1930.25
2055-02-18 14:10,77.12,0.00,1935.00
2055-02-18 14:30,13.19,0.00,2185.25
2055-02-18 14:51,13.25,0.00,2174.75
2055-02-18 15:11,13.25,0.00,2249.75
2055-02-18 15:32,13.06,0.00,2276.25
2055-02-18 15:52,12.94,0.00,1923.75
2055-02-18 16:13,12.38,0.00,2164.00
2055-02-18 16:33,79.12,0.00,1968.00
2055-02-18 16:54,77.12,0.00,2093.75
2055-02-18 17:14,13.00,0.00,2288.50
2055-02-18 17:34,12.94,0.00,1661.25
2055-02-18 17:55,13.00,0.00,2523.75
2055-02-18 18:15,12.81,0.00,2700.25
2055-02-18 18:36,12.75,0.00,2581.25
2055-02-18 18:56,95.12,0.00,2734.00
2055-02-18 19:17,12.88,0.00,2591.00
2055-02-18 19:37,13.06,0.00,2656.25
2055-02-18 19:58,12.88,0.00,2669.75
2055-02-18 20:18,79.12,0.00,2663.25
2055-02-18 20:38,12.94,0.00,2603.00
2055-02-18 20:59,13.00,0.00,2483.75
2055-02-18 21:19,13.00,0.00,2599.25
2055-02-18 21:40,12.94,0.00,2499.75
2055-02-18 22:00,13.12,0.00,2525.00
2055-02-18 22:21,13.12,0.00,2525.75
2055-02-18 22:41,13.00,0.00,2558.00
2055-02-18 23:02,77.12,0.00,2599.50
2055-02-18 23:22,13.31,0.00,2431.75
2055-02-18 23:43,13.44,0.00,2698.75
