Date,Temp,EC,Turbidity
2055-02-21 00:11,15.75,0.00,1752.50
2055-02-21 00:32,95.12,0.00,1749.00
2055-02-21 00:52,15.94,0.00,1691.25
2055-02-21 01:13,16.12,0.00,1624.50
2055-02-21 01:33,16.50,0.00,1946.25
2055-02-21 01:54,16.75,0.00,1645.50
2055-02-21 02:14,16.81,0.00,1601.75
2055-02-21 02:35,17.12,0.00,1955.50
2055-02-21 02:55,17.12,0.00,1667.75
2055-02-21 03:16,17.31,0.00,1953.00
2055-02-21 03:36,18.06,0.00,1738.50
2055-02-21 03:57,17.75,0.00,1632.00
2055-02-21 04:17,17.94,0.00,1551.50
2055-02-21 04:38,17.94,0.00,1805.25
2055-02-21 04:59,18.56,0.00,1571.00
2055-02-21 05:19,18.75,0.00,1722.25
2055-02-21 05:40,-1000.00,0.00,2143.00
2055-02-21 06:00,18.50,0.00,1774.25
2055-02-21 06:21,18.38,0.00,2199.00
2055-02-21 06:41,18.12,0.00,1649.50
2055-02-21 07:02,18.25,0.00,1855.25
2055-02-21 07:22,18.19,0.00,2187.50
2055-02-21 07:43,18.19,0.00,2180.50
2055-02-21 08:03,18.12,0.00,2218.00
2055-02-21 08:24,18.06,0.00,2207.25
2055-02-21 08:44,17.94,0.00,2250.50
2055-02-21 09:05,18.00,0.00,2226.25
2055-02-21 09:25,17.94,0.00,2257.75
2055-02-21 09:46,17.75,0.00,2302.50
2055-02-21 10:06,17.81,0.00,2234.25
2055-02-21 10:27,17.62,0.00,2112.50
2055-02-21 10:47,17.56,0.00,2242.00
2055-02-21 11:08,17.50,0.00,2275.50
2055-02-21 11:28,17.44,0.00,2308.50
2055-02-21 11:49,17.38,0.00,2312.50
2055-02-21 12:09,17.19,0.00,2306.75
2055-02-21 12:29,16.88,0.00,2307.00
2055-02-21 12:50,16.81,0.00,2296.25
2055-02-21 13:10,16.75,0.00,2296.50
2055-02-21 13:31,16.81,0.00,2301.25
2055-02-21 13:51,16.69,0.00,2306.25
2055-02-21 14:12,16.62,0.00,2300.50
2055-02-21 14:32,16.50,0.00,2298.25
2055-02-21 14:53,16.38,0.00,2313.50
2055-02-21 15:13,16.50,0.00,2308.00
2055-02-21 15:34,16.44,0.00,2304.75
2055-02-21 15:54,16.44,0.00,2306.50
2055-02-21 16:15,16.44,0.00,2305.50
2055-02-21 16:35,16.44,0.00,2303.25
2055-02-21 16:56,16.44,0.00,2305.00
2055-02-21 17:16,16.25,0.00,2303.25
2055-02-21 17:37,16.38,0.00,2305.00
2055-02-21 17:57,16.31,0.00,2300.50
2055-02-21 18:18,16.38,0.00,2299.00
2055-02-21 18:38,16.19,0.00,2298.75
2055-02-21 18:58,16.31,0.00,2292.50
2055-02-21 19:19,16.25,0.00,2297.25
2055-02-21 19:39,16.31,0.00,2296.75
2055-02-21 20:00,16.25,0.00,2296.25
2055-02-21 20:20,16.25,0.00,2293.25
2055-02-21 20:41,16.25,0.00,2294.50
2055-02-21 21:01,16.19,0.00,2293.25
2055-02-21 21:22,16.19,0.00,2294.25
2055-02-21 21:42,16.06,0.00,2304.75
2055-02-21 22:03,16.00,0.00,2312.25
2055-02-21 22:23,16.25,0.00,2320.75
2055-02-21 22:44,16.25,0.00,2342.50
2055-02-21 23:04,16.31,0.00,2345.00
2055-02-21 23:25,16.38,0.00,2336.25
2055-02-21 23:45,16.50,0.00,2397.75
