Date,Temp,EC,Turbidity
2055-02-23 00:01,15.69,0.00,2270.25
2055-02-23 00:21,15.56,0.00,2257.50
2055-02-23 00:42,15.81,0.00,2252.25
2055-02-23 01:02,15.75,0.00,2241.50
2055-02-23 01:23,16.06,0.00,2236.75
2055-02-23 01:43,16.25,0.00,2228.00
2055-02-23 02:04,16.38,0.00,2221.75
2055-02-23 02:24,16.25,0.00,2219.50
2055-02-23 02:45,16.62,0.00,2220.75
2055-02-23 03:05,16.88,0.00,2219.25
2055-02-23 03:26,16.94,0.00,2216.00
2055-02-23 03:46,16.94,0.00,2219.50
2055-02-23 04:07,17.19,0.00,2221.25
2055-02-23 04:27,17.19,0.00,2213.75
2055-02-23 04:48,17.31,0.00,2207.25
2055-02-23 05:08,17.12,0.00,2200.25
2055-02-23 05:29,17.31,0.00,2194.75
2055-02-23 05:49,17.06,0.00,2190.25
2055-02-23 06:10,17.12,0.00,2189.25
2055-02-23 06:30,17.12,0.00,2184.00
2055-02-23 06:51,17.00,0.00,2178.00
2055-02-23 07:11,17.06,0.00,2178.00
2055-02-23 07:32,16.94,0.00,2176.75
2055-02-23 07:52,16.81,0.00,2174.75
2055-02-23 08:13,16.75,0.00,2176.25
2055-02-23 08:33,16.56,0.00,2177.25
2055-02-23 08:54,16.69,0.00,2178.25
2055-02-23 09:14,16.62,0.00,2177.50
2055-02-23 09:35,16.50,0.00,2180.50
2055-02-23 09:55,16.50,0.00,2179.00
2055-02-23 10:16,16.31,0.00,2177.75
2055-02-23 10:36,16.31,0.00,2177.00
2055-02-23 10:57,16.38,0.00,2177.25
2055-02-23 11:17,16.19,0.00,2178.25
2055-02-23 11:38,16.19,0.00,2176.75
2055-02-23 11:58,16.06,0.00,2177.00
2055-02-23 12:19,15.94,0.00,2175.25
2055-02-23 12:39,15.94,0.00,2174.25
2055-02-23 13:00,15.81,0.00,2173.75
2055-02-23 13:20,15.81,0.00,2174.75
2055-02-23 13:41,15.75,0.00,2176.00
2055-02-23 14:01,15.56,0.00,2174.75
2055-02-23 14:22,15.62,0.00,2175.25
2055-02-23 14:42,15.62,0.00,2175.00
2055-02-23 15:03,15.62,0.00,2177.00
2055-02-23 15:23,15.44,0.00,2175.25
2055-02-23 15:43,15.56,0.00,2178.00
2055-02-23 16:04,15.31,0.00,2177.50
2055-02-23 16:24,15.56,0.00,2177.00
2055-02-23 16:45,15.44,0.00,2175.50
2055-02-23 17:05,15.38,0.00,2176.50
2055-02-23 17:26,15.19,0.00,2176.25
2055-02-23 17:46,15.31,0.00,2176.25
2055-02-23 18:07,15.25,0.00,2177.50
2055-02-23 18:27,15.25,0.00,2177.25
2055-02-23 18:48,15.25,0.00,2176.50
2055-02-23 19:08,15.25,0.00,2176.00
2055-02-23 19:29,15.31,0.00,2171.75
2055-02-23 19:49,15.19,0.00,2170.25
2055-02-23 20:10,15.00,0.00,2169.25
2055-02-23 20:30,15.12,0.00,2168.75
2055-02-23 20:51,15.06,0.00,2169.00
2055-02-23 21:11,15.06,0.00,2171.00
2055-02-23 21:32,15.12,0.00,2172.75
2055-02-23 21:52,15.12,0.00,2174.50
2055-02-23 22:13,15.06,0.00,2176.25
2055-02-23 22:33,15.06,0.00,2178.00
2055-02-23 22:54,14.88,0.00,2178.25
2055-02-23 23:14,15.06,0.00,2180.25
2055-02-23 23:35,15.06,0.00,2182.50
2055-02-23 23:55,14.94,0.00,2182.75
