Date,Temp,EC,Turbidity
2055-02-27 00:17,15.94,0.00,2057.50
2055-02-27 00:38,16.12,0.00,2057.50
2055-02-27 00:58,16.00,0.00,2057.50
2055-02-27 01:19,15.94,0.00,2053.25
2055-02-27 01:39,16.06,0.00,2051.75
2055-02-27 02:00,16.12,0.00,2049.25
2055-02-27 02:20,15.94,0.00,2045.25
2055-02-27 02:41,16.19,0.00,2043.00
2055-02-27 03:01,16.06,0.00,2039.75
2055-02-27 03:22,16.12,0.00,2037.25
2055-02-27 03:42,16.12,0.00,2034.75
2055-02-27 04:03,16.00,0.00,2034.00
2055-02-27 04:23,16.12,0.00,2031.25
2055-02-27 04:44,16.06,0.00,2028.75
2055-02-27 05:04,16.12,0.00,2028.75
2055-02-27 05:25,16.12,0.00,2027.75
2055-02-27 05:45,16.12,0.00,2026.00
2055-02-27 06:06,16.12,0.00,2027.25
2055-02-27 06:26,16.00,0.00,2026.25
2055-02-27 06:46,16.06,0.00,2025.00
2055-02-27 07:07,15.88,0.00,2023.75
2055-02-27 07:27,15.75,0.00,2022.50
2055-02-27 07:48,15.81,0.00,2018.50
2055-02-27 08:08,15.81,0.00,2014.00
2055-02-27 08:29,15.88,0.00,2011.25
2055-02-27 08:49,15.81,0.00,2004.75
2055-02-27 09:10,15.75,0.00,2002.75
2055-02-27 09:30,15.62,0.00,1998.75
2055-02-27 09:51,15.69,0.00,1997.25
2055-02-27 10:11,15.62,0.00,1996.50
2055-02-27 10:32,15.50,0.00,1994.00
2055-02-27 10:52,15.50,0.00,1992.25
2055-02-27 11:13,15.38,0.00,1990.00
2055-02-27 11:33,15.44,0.00,1991.25
2055-02-27 11:54,15.44,0.00,1991.75
2055-02-27 12:14,15.25,0.00,1996.25
2055-02-27 12:34,15.31,0.00,2002.25
2055-02-27 12:55,15.19,0.00,2008.50
2055-02-27 13:15,15.31,0.00,2015.00
2055-02-27 13:36,15.25,0.00,2017.75
2055-02-27 13:56,15.00,0.00,2018.25
2055-02-27 14:17,15.19,0.00,2017.00
2055-02-27 14:37,15.06,0.00,2014.50
2055-02-27 14:58,15.06,0.00,2006.50
2055-02-27 15:18,14.94,0.00,1999.75
2055-02-27 15:39,15.06,0.00,1996.25
2055-02-27 15:59,15.00,0.00,1992.50
2055-02-27 16:20,14.94,0.00,1992.00
2055-02-27 16:40,14.81,0.00,1989.25
2055-02-27 17:01,15.00,0.00,1986.25
2055-02-27 17:21,14.88,0.00,1982.75
2055-02-27 17:41,14.75,0.00,1981.50
2055-02-27 18:02,14.81,0.00,1980.25
2055-02-27 18:22,14.81,0.00,1979.75
2055-02-27 18:43,14.81,0.00,1978.75
2055-02-27 19:03,14.81,0.00,1979.50
2055-02-27 19:24,14.81,0.00,1979.75
2055-02-27 19:44,14.81,0.00,1979.25
2055-02-27 20:05,14.75,0.00,1980.25
2055-02-27 20:25,14.56,0.00,1980.50
2055-02-27 20:46,14.75,0.00,1980.25
2055-02-27 21:06,14.56,0.00,1980.00
2055-02-27 21:27,14.62,0.00,1980.50
2055-02-27 21:47,14.62,0.00,1983.00
2055-02-27 22:08,14.62,0.00,1988.00
2055-02-27 22:28,14.56,0.00,1991.75
2055-02-27 22:48,14.62,0.00,1998.00
2055-02-27 23:09,14.50,0.00,2000.75
2055-02-27 23:29,14.50,0.00,2003.50
2055-02-27 23:50,14.62,0.00,2005.75
