Date,Temp,EC,Turbidity
2055-02-19 00:03,13.62,0.00,2636.75
2055-02-19 00:24,13.69,0.00,2633.00
2055-02-19 00:44,77.12,0.00,2686.50
2055-02-19 01:05,14.06,0.00,2605.25
2055-02-19 01:25,14.19,0.00,2593.25
2055-02-19 01:46,14.31,0.00,2500.75
2055-02-19 02:06,77.12,0.00,2576.75
2055-02-19 02:27,77.12,0.00,2485.50
2055-02-19 02:47,15.00,0.00,2473.75
2055-02-19 03:08,77.12,0.00,2492.50
2055-02-19 03:28,77.12,0.00,2476.25
2055-02-19 03:49,15.75,0.00,2502.25
2055-02-19 04:09,15.69,0.00,2341.00
2055-02-19 04:30,15.69,0.00,2459.50
2055-02-19 04:50,15.69,0.00,2360.00
2055-02-19 05:11,15.94,0.00,2179.75
2055-02-19 05:31,15.88,0.00,2003.75
2055-02-19 05:52,15.94,0.00,2420.25
2055-02-19 06:12,15.88,0.00,1999.75
2055-02-19 06:33,15.94,0.00,2321.00
2055-02-19 06:53,15.69,0.00,1865.25
2055-02-19 07:14,15.81,0.00,1966.00
2055-02-19 07:34,15.81,0.00,2428.75
2055-02-19 07:55,15.75,0.00,1851.75
2055-02-19 08:15,15.69,0.00,1852.00
2055-02-19 08:36,2143.12,0.00,1846.50
2055-02-19 08:56,15.62,0.00,2400.75
2055-02-19 09:17,15.50,0.00,2370.50
2055-02-19 09:37,15.56,0.00,2347.25
2055-02-19 09:58,15.38,0.00,2249.00
2055-02-19 10:18,15.44,0.00,1956.25
2055-02-19 10:39,15.38,0.00,2008.50
2055-02-19 10:59,15.25,0.00,2417.75
2055-02-19 11:20,15.25,0.00,1890.25
2055-02-19 11:40,15.06,0.00,2200.50
2055-02-19 12:00,15.00,0.00,2206.50
2055-02-19 12:21,95.12,0.00,1808.75
2055-02-19 12:41,79.12,0.00,1731.00
2055-02-19 13:02,14.88,0.00,2413.75
2055-02-19 13:22,14.69,0.00,2303.00
2055-02-19 13:43,14.62,0.00,2262.75
2055-02-19 14:03,14.56,0.00,1834.75
2055-02-19 14:24,14.50,0.00,2383.75
2055-02-19 14:44,14.50,0.00,2323.00
2055-02-19 15:05,14.50,0.00,2321.00
2055-02-19 15:25,95.12,0.00,1851.25
2055-02-19 15:45,2127.12,0.00,1850.75
2055-02-19 16:06,2143.12,0.00,1830.50
2055-02-19 16:26,14.44,0.00,2302.25
2055-02-19 16:47,14.38,0.00,2331.00
2055-02-19 17:07,14.31,0.00,1857.75
2055-02-19 17:28,14.38,0.00,1852.00
2055-02-19 17:48,14.38,0.00,2340.75
2055-02-19 18:09,14.38,0.00,1860.50
2055-02-19 18:29,14.19,0.00,1864.00
2055-02-19 18:50,14.25,0.00,1828.50
2055-02-19 19:10,14.31,0.00,1857.75
2055-02-19 19:31,14.25,0.00,1516.75
2055-02-19 19:51,14.19,0.00,1885.50
2055-02-19 20:11,14.31,0.00,2355.00
2055-02-19 20:32,14.31,0.00,2400.00
2055-02-19 20:52,14.19,0.00,1885.25
2055-02-19 21:13,14.31,0.00,1874.75
2055-02-19 21:33,79.12,0.00,1872.50
2055-02-19 21:54,14.31,0.00,1865.75
2055-02-19 22:14,14.31,0.00,1865.25
2055-02-19 22:35,14.25,0.00,1863.25
2055-02-19 22:55,14.31,0.00,1874.75
2055-02-19 23:16,2143.12,0.00,1492.25
2055-02-19 23:36,14.62,0.00,1896.25
2055-02-19 23:57,14.88,0.00,2398.25
