Date,Temp,EC,Turbidity
2055-03-07 00:09,15.25,0.00,2176.00
2055-03-07 00:30,15.44,0.00,2192.00
2055-03-07 00:50,15.69,0.00,2217.75
2055-03-07 01:11,15.94,0.00,2195.25
2055-03-07 01:31,16.06,0.00,2188.50
2055-03-07 01:52,16.38,0.00,2187.25
2055-03-07 02:12,16.56,0.00,2183.50
2055-03-07 02:33,16.81,0.00,2182.00
2055-03-07 02:53,16.88,0.00,2183.00
2055-03-07 03:14,17.19,0.00,2188.00
2055-03-07 03:34,17.31,0.00,2188.00
2055-03-07 03:55,17.31,0.00,2181.75
2055-03-07 04:16,17.44,0.00,2174.50
2055-03-07 04:36,17.75,0.00,2172.00
2055-03-07 04:57,17.81,0.00,2173.50
2055-03-07 05:17,17.81,0.00,2174.50
2055-03-07 05:38,17.88,0.00,2171.50
2055-03-07 05:58,17.81,0.00,2161.50
2055-03-07 06:19,17.81,0.00,2153.25
2055-03-07 06:39,17.75,0.00,2142.25
2055-03-07 07:00,17.62,0.00,2136.25
2055-03-07 07:20,17.62,0.00,2130.00
2055-03-07 07:41,17.50,0.00,2123.25
2055-03-07 08:01,17.25,0.00,2116.00
2055-03-07 08:22,17.25,0.00,2111.75
2055-03-07 08:42,17.31,0.00,2108.00
2055-03-07 09:03,17.25,0.00,2102.50
2055-03-07 09:23,17.19,0.00,2101.50
2055-03-07 09:44,17.06,0.00,2098.50
2055-03-07 10:04,17.06,0.00,2093.75
2055-03-07 10:25,16.81,0.00,2089.00
2055-03-07 10:45,16.88,0.00,2088.25
2055-03-07 11:06,16.88,0.00,2084.75
2055-03-07 11:26,16.81,0.00,2083.00
2055-03-07 11:47,16.69,0.00,2084.50
2055-03-07 12:07,16.75,0.00,2082.50
2055-03-07 12:28,16.69,0.00,2073.75
2055-03-07 12:48,16.62,0.00,2066.00
2055-03-07 13:08,16.50,0.00,2058.25
2055-03-07 13:29,16.50,0.00,2052.50
2055-03-07 13:49,16.25,0.00,2046.50
2055-03-07 14:10,16.19,0.00,2040.50
2055-03-07 14:30,16.12,0.00,2036.00
2055-03-07 14:51,16.12,0.00,2033.50
2055-03-07 15:11,16.00,0.00,2032.00
2055-03-07 15:32,15.88,0.00,2024.00
2055-03-07 15:52,15.69,0.00,2020.00
2055-03-07 16:13,15.62,0.00,2015.50
2055-03-07 16:33,15.56,0.00,2010.75
2055-03-07 16:53,15.31,0.00,2010.00
2055-03-07 17:14,15.31,0.00,2006.25
2055-03-07 17:34,15.06,0.00,2006.50
2055-03-07 17:55,15.12,0.00,2003.00
2055-03-07 18:15,14.81,0.00,2002.25
2055-03-07 18:36,14.94,0.00,1998.75
2055-03-07 18:56,14.62,0.00,1995.25
2055-03-07 19:16,14.75,0.00,1990.25
2055-03-07 19:37,14.62,0.00,1989.25
2055-03-07 19:57,14.50,0.00,1987.50
2055-03-07 20:18,14.44,0.00,1986.75
2055-03-07 20:38,14.38,0.00,1993.25
2055-03-07 20:59,14.25,0.00,2002.25
2055-03-07 21:19,14.19,0.00,2012.75
2055-03-07 21:40,14.19,0.00,2031.50
2055-03-07 22:00,14.19,0.00,2064.00
2055-03-07 22:20,14.00,0.00,2146.50
2055-03-07 22:41,14.31,0.00,2202.00
2055-03-07 23:01,14.38,0.00,2222.00
2055-03-07 23:22,14.38,0.00,2249.75
2055-03-07 23:43,14.62,0.00,2226.50
