Date,Temp,EC,Turbidity
2055-03-08 00:03,14.69,0.00,2205.25
2055-03-08 00:24,14.88,0.00,2206.50
2055-03-08 00:44,15.00,0.00,2234.50
2055-03-08 01:05,15.38,0.00,2204.50
2055-03-08 01:25,15.38,0.00,2178.50
2055-03-08 01:46,15.56,0.00,2173.50
2055-03-08 02:06,15.94,0.00,2169.25
2055-03-08 02:27,16.19,0.00,2176.50
2055-03-08 02:47,16.62,0.00,2183.00
2055-03-08 03:08,16.81,0.00,2182.75
2055-03-08 03:28,17.19,0.00,2176.25
2055-03-08 03:49,17.31,0.00,2167.00
2055-03-08 04:10,17.50,0.00,2159.00
2055-03-08 04:30,17.75,0.00,2155.50
2055-03-08 04:51,17.69,0.00,2160.00
2055-03-08 05:11,18.00,0.00,2158.00
2055-03-08 05:32,18.06,0.00,2153.25
2055-03-08 05:52,17.81,0.00,2145.25
2055-03-08 06:13,17.88,0.00,2134.50
2055-03-08 06:33,17.88,0.00,2126.50
2055-03-08 06:54,17.81,0.00,2107.75
2055-03-08 07:14,17.81,0.00,2108.75
2055-03-08 07:35,17.75,0.00,2099.50
2055-03-08 07:55,17.56,0.00,2093.25
2055-03-08 08:16,17.50,0.00,2085.75
2055-03-08 08:36,17.38,0.00,2076.75
2055-03-08 08:57,17.25,0.00,2069.50
2055-03-08 09:17,17.06,0.00,2063.50
2055-03-08 09:38,17.12,0.00,2053.25
2055-03-08 09:58,17.06,0.00,2044.00
2055-03-08 10:19,16.88,0.00,2040.25
2055-03-08 10:39,16.94,0.00,2035.75
2055-03-08 11:00,16.69,0.00,2028.00
2055-03-08 11:20,16.69,0.00,2022.50
2055-03-08 11:41,16.62,0.00,2020.50
2055-03-08 12:01,16.50,0.00,2014.00
2055-03-08 12:21,16.38,0.00,2010.75
2055-03-08 12:42,16.12,0.00,2004.25
2055-03-08 13:02,16.06,0.00,1997.00
2055-03-08 13:23,16.00,0.00,1990.75
2055-03-08 13:43,15.81,0.00,1995.00
2055-03-08 14:04,15.62,0.00,1988.25
2055-03-08 14:24,15.62,0.00,1988.00
2055-03-08 14:45,15.56,0.00,1983.50
2055-03-08 15:05,15.19,0.00,1976.25
2055-03-08 15:25,15.12,0.00,1981.50
2055-03-08 15:46,15.12,0.00,1978.50
2055-03-08 16:06,14.94,0.00,1975.50
2055-03-08 16:27,14.75,0.00,1971.00
2055-03-08 16:47,14.56,0.00,1965.75
2055-03-08 17:08,14.50,0.00,1965.75
2055-03-08 17:28,14.50,0.00,1965.50
2055-03-08 17:48,14.19,0.00,1964.00
2055-03-08 18:09,14.12,0.00,1964.50
2055-03-08 18:29,14.06,0.00,1963.25
2055-03-08 18:50,14.00,0.00,1962.50
2055-03-08 19:10,13.88,0.00,1964.25
2055-03-08 19:31,13.75,0.00,1956.00
2055-03-08 19:51,13.56,0.00,1958.50
2055-03-08 20:11,13.50,0.00,1957.75
2055-03-08 20:32,13.56,0.00,1963.00
2055-03-08 20:52,13.38,0.00,1972.25
2055-03-08 21:13,13.44,0.00,1986.25
2055-03-08 21:33,13.38,0.00,2005.75
2055-03-08 21:54,13.31,0.00,2032.25
2055-03-08 22:14,13.38,0.00,2113.25
2055-03-08 22:35,13.62,0.00,2170.50
2055-03-08 22:55,13.62,0.00,2207.50
2055-03-08 23:16,13.81,0.00,2229.00
2055-03-08 23:36,14.00,0.00,2222.75
2055-03-08 23:57,14.19,0.00,2177.75
