Date,Temp,EC,Turbidity
2055-03-09 00:17,14.25,0.00,2164.00
2055-03-09 00:38,14.62,0.00,2213.75
2055-03-09 00:58,14.81,0.00,2196.25
2055-03-09 01:19,15.00,0.00,2154.50
2055-03-09 01:39,15.44,0.00,2146.25
2055-03-09 02:00,15.75,0.00,2144.25
2055-03-09 02:20,16.25,0.00,2143.50
2055-03-09 02:41,16.69,0.00,2146.75
2055-03-09 03:01,17.06,0.00,2145.00
2055-03-09 03:22,17.31,0.00,2147.00
2055-03-09 03:42,17.69,0.00,2144.00
2055-03-09 04:03,17.69,0.00,2138.50
2055-03-09 04:24,17.69,0.00,2134.25
2055-03-09 04:44,17.69,0.00,2130.00
2055-03-09 05:05,17.94,0.00,2124.00
2055-03-09 05:25,17.94,0.00,2120.25
2055-03-09 05:46,17.94,0.00,2111.00
2055-03-09 06:06,17.94,0.00,2107.50
2055-03-09 06:27,17.75,0.00,2102.75
2055-03-09 06:47,17.69,0.00,2095.50
2055-03-09 07:08,17.75,0.00,2088.25
2055-03-09 07:28,17.62,0.00,2076.50
2055-03-09 07:49,17.56,0.00,2066.50
2055-03-09 08:09,17.50,0.00,2058.00
2055-03-09 08:30,17.44,0.00,2050.25
2055-03-09 08:50,17.19,0.00,2045.00
2055-03-09 09:11,17.25,0.00,2035.50
2055-03-09 09:31,17.19,0.00,2032.25
2055-03-09 09:52,17.06,0.00,2029.25
2055-03-09 10:12,16.94,0.00,2026.00
2055-03-09 10:32,16.69,0.00,2019.75
2055-03-09 10:53,16.75,0.00,2018.25
2055-03-09 11:13,16.56,0.00,2015.75
2055-03-09 11:34,16.56,0.00,2017.25
2055-03-09 11:54,16.56,0.00,2012.50
2055-03-09 12:15,16.38,0.00,2010.00
2055-03-09 12:35,16.25,0.00,2010.25
2055-03-09 12:56,16.19,0.00,1996.50
2055-03-09 13:16,16.12,0.00,1999.25
2055-03-09 13:37,16.00,0.00,1991.25
2055-03-09 13:57,15.69,0.00,1994.25
2055-03-09 14:18,15.69,0.00,1993.25
2055-03-09 14:38,15.69,0.00,1991.50
2055-03-09 14:58,15.50,0.00,1983.25
2055-03-09 15:19,15.25,0.00,1989.75
2055-03-09 15:39,15.25,0.00,1989.75
2055-03-09 16:00,15.19,0.00,1985.75
2055-03-09 16:20,15.06,0.00,1987.50
2055-03-09 16:41,14.88,0.00,1983.75
2055-03-09 17:01,14.75,0.00,1977.25
2055-03-09 17:21,14.62,0.00,1982.00
2055-03-09 17:42,14.44,0.00,1972.25
2055-03-09 18:02,14.56,0.00,1973.75
2055-03-09 18:23,14.44,0.00,1974.00
2055-03-09 18:43,14.44,0.00,1968.50
2055-03-09 19:04,14.25,0.00,1971.25
2055-03-09 19:24,14.19,0.00,1970.25
2055-03-09 19:45,14.06,0.00,1965.25
2055-03-09 20:05,14.06,0.00,1970.50
2055-03-09 20:25,14.00,0.00,1973.00
2055-03-09 20:46,13.81,0.00,1977.25
2055-03-09 21:06,13.88,0.00,1987.50
2055-03-09 21:27,13.81,0.00,1996.00
2055-03-09 21:47,13.94,0.00,2018.00
2055-03-09 22:08,13.81,0.00,2077.25
2055-03-09 22:28,14.00,0.00,2150.50
2055-03-09 22:49,14.12,0.00,2190.25
2055-03-09 23:09,14.06,0.00,2212.75
2055-03-09 23:30,14.31,0.00,2218.75
2055-03-09 23:50,14.62,0.00,2177.25
